id,source,target_dimension,target_direction,openness,conscientiousness,extraversion,agreeableness,neuroticism,text
ipip-11,ipip,extraversion,high,,,80,,,"Hablo rápido y bastante, y a veces me doy cuenta tarde de que estoy monopolizando la conversación porque me entusiasmo con el tema. Me gusta moverme: caminar mientras pienso, hacer varias cosas a la vez, tener siempre algo por delante. Cuando estoy bajo presión o de buen ánimo tiendo a agarrar el volante de la situación sin preguntar."
ipip-12,ipip,extraversion,low,,,20,,,"Disfruto mucho de mi casa, de estar solo leyendo o viendo algo, y cuando el plan del finde se cancela siento una especie de alivio secreto. Me lleva tiempo confiar en alguien y abrirme. Con los que ya conozco soy distinto, pero con nuevos me voy midiendo. Prefiero escuchar antes que hablar. Cuando doy una opinión, suele ser después de haber procesado bastante lo que me dijeron."
ipip-13,ipip,extraversion,high,,,80,,,"Me contagia el entusiasmo de los demás y a la vez contagio el mío. En grupos donde el clima está medio muerto, algo en mí trata de levantarlo. Suelo acordarme de nombres, de cumpleaños, de detalles chicos de la gente que me importa, porque me importa que el otro se sienta visto. Me buscan cuando hay que organizar algo social y generalmente digo que sí."
ipip-14,ipip,agreeableness,high,,,,80,,"Tiendo a darle al otro el beneficio de la duda. Si alguien me trata mal, mi primera hipótesis es que está pasando un mal momento, no que es mala persona. Me cuesta pedir cosas para mí. Muchas veces pongo las necesidades del otro antes que las mías sin darme cuenta. Cuando hay conflicto en un grupo, intento que la gente se entienda antes que ganar la discusión."
ipip-15,ipip,agreeableness,low,,,,20,,"No tengo problema en decir lo que pienso aunque incomode. Prefiero un conflicto directo a una paz falsa. Desconfío un poco de la gente hasta que me muestra con hechos que se puede. No lo tomo como algo personal, es mi default. Cuando veo que se están aprovechando de mí, pongo el freno sin drama. Prioridades claras: primero lo mío."
ipip-16,ipip,agreeableness,high,,,,80,,"Me emociono fácil con las historias de otros. Si veo a alguien llorar en la calle, ya me afecta aunque no lo conozca. Me gusta ayudar incluso cuando implica un costo personal, y me siento raro cuando alguien me hace un favor y no puedo devolvérselo. Las películas donde alguien lastima a un animal me arruinan el día. Esa cosa de la compasión está muy conectada en mí."
ipip-17,ipip,agreeableness,low,,,,30,,"Soy bastante directo para dar feedback. Prefiero decirte que algo no me gusta a tragármelo y después estar raro sin que sepas por qué. En negociaciones no me cuesta pedir lo que quiero y no me pongo nervioso si el otro se incomoda un poco. Puedo ser cariñoso con gente muy cercana, pero con desconocidos mantengo distancia hasta entender la intención del otro."
ipip-18,ipip,neuroticism,low,,,,,20,"Cuando algo sale mal, mi primera reacción suele ser mirar qué se puede hacer ahora, no quedarme atrapado en el golpe. No es que no me afecten las cosas, pero tengo bastante registro de proporción. Una mala semana no me hace pensar que toda mi vida está rota. La gente a veces me dice que transmito calma en momentos tensos, y creo que tiene que ver con que no me desordeno fácil por adentro."
ipip-19,ipip,neuroticism,high,,,,,80,"Tengo una mezcla rara entre sensibilidad y autoexigencia. Si alguien que me importa se aleja un poco, enseguida me pregunto en qué fallé. Me cuesta separar hechos de interpretaciones cuando estoy emocionalmente cargado, y termino leyendo señales en todos lados. Después suelo acomodarme, pero en el momento todo se siente más grande, más definitivo, más personal."
ipip-20,ipip,neuroticism,low,,,,,20,"No necesito que todo esté perfecto para sentirme bien. Si hay incertidumbre, la tolero bastante mejor que antes y no me desarmo por no tener control total. Aprendí a distinguir entre un problema real y una emoción pasajera. Eso me ayuda a no actuar impulsivamente cuando algo me frustra. Creo que mi mayor fortaleza hoy es esa: sostenerme sin dramatizar cada curva."
