id,source,target,text
jung-20,jung,Si+Fe,"Me importa mucho sostener ciertos gestos que hacen bien a otros: acordarme de fechas, repetir rituales familiares, estar cuando alguien necesita una presencia confiable. No vivo eso como obligación vacía; lo siento como una forma concreta de amor. El pasado, los hábitos y el cuidado del vínculo se me mezclan bastante en la manera de estar para los demás."
adv-01,adversarial,contradiccion,"Me gusta pensar que soy espontáneo, pero si las cosas se desordenan demasiado me pongo insoportable. Digo que no necesito controlar nada y, sin embargo, me descubro rehaciendo planes, conversaciones y posibles errores en la cabeza. También me vendo como alguien frío, aunque la verdad es que una pavada me puede tocar fuerte por dentro. Soy bastante bueno sosteniendo contradicciones mientras hago de cuenta que no están."
adv-02,adversarial,ambivalencia_social,"Me encanta estar con gente hasta que finalmente estoy con gente. Fantaseo con planes, charlas, movimiento, pero después de un rato me quiero ir y volver a casa. Al mismo tiempo, si paso demasiado solo, me agarra la sensación de estar desapareciendo un poco. No sé si busco compañía, espejo, ruido o escape; capaz un poco de todo."
adv-03,adversarial,brevedad,"Quiero cambiar, pero cuando algo cambia extraño lo anterior. No sé si soy prudente o cobarde; solo sé que me cuesta soltar."
adv-04,adversarial,multiestado,"Si me preguntás quién soy, podría contestarte cosas completamente distintas según la semana. Hay momentos en los que me siento ordenado, productivo y hasta medio implacable con mis metas; me levanto temprano, hago listas, tacho pendientes y me convenzo de que el mundo es más simple de lo que parece si uno deja de dramatizar. Después vienen rachas en las que todo ese sistema me queda grande, como si fuera un traje prestado. Me vuelvo lento, hipersensible a cualquier gesto, me distraigo con ideas laterales y paso horas pensando en escenas mínimas o en futuros improbables. También tengo épocas muy sociales, casi expansivas: organizo planes, respondo rápido, me siento nítido en contacto con otros. Pero no duran siempre. En otros períodos necesito bajar persianas, leer solo, revisar qué parte de lo que hice fue deseo y qué parte fue personaje. No siento que una versión sea mentira y la otra verdad. Más bien me da la impresión de que conviven capas distintas que no siempre se alinean, y por eso cualquier etiqueta me queda medio corta."
adv-05,adversarial,mezcla_voseo_tuteo,"A veces sentís que ya te conocés, y después aparece una reacción tuya que te desacomoda por completo. Me pasa eso: por momentos soy recontra racional y te diría que todo se resuelve pensando mejor, pero en el fondo sé que muchas decisiones las tomo por una vibración difícil de justificar. Vos me ves tranquilo; yo por dentro no siempre lo estoy. Capaz soy coherente, capaz solo aprendí a explicar lindo mis contradicciones."
adv-06,adversarial,baja_complacencia_alta_sensibilidad,"No me interesa quedar bien con nadie, eso digo. Pero cuando alguien importante se distancia, me pega más de lo que quisiera admitir. Defiendo mucho mi autonomía y mis límites, aunque después reviso mil veces si fui demasiado duro. Quiero vínculos honestos, sin dependencia, sin teatro; el problema es que a veces esa misma exigencia vuelve todo más frágil."
adv-07,adversarial,desempeno_alto_duda_identitaria,"En público suelo parecer seguro. Hablo claro, hago chistes, sostengo la energía y hasta improviso bien. Lo raro es que casi nunca sé si eso expresa algo genuino o si simplemente aprendí a ocupar un rol útil. Cuando vuelvo a casa me queda una mezcla de satisfacción y vacío, como si hubiera estado muy presente y muy ausente al mismo tiempo."
adv-08,adversarial,afecto_plano_rumiacion,"No me considero ansioso. Duermo bien, no suelo explotar y en crisis concretas reacciono bastante centrado. Pero después me encuentro repasando durante horas el tono de una frase, el orden de un mail o la expresión de alguien cuando le contesté algo. No sé si eso es sensibilidad fina, perfeccionismo o una forma prolija de preocuparme sin decirle preocupación."
adv-09,adversarial,abstraccion_y_logica,"Puedo pasar de hablar de símbolos, destino y sentido a armar una planilla para comparar opciones en cinco minutos. No lo vivo como incoherencia: necesito ambas cosas. Si solo me quedo en lo práctico, me seco. Si solo me quedo en lo profundo, me pierdo. El problema es que desde afuera parezco dos personas distintas, y capaz yo mismo todavía no decidí cómo integrar esas capas."
adv-10,adversarial,reserva_decision,"No soy fácil de leer. Te puedo decir ""todo bien"" con honestidad relativa mientras por dentro sigo procesando algo desde hace días. Vos pensás que ya cerré un tema porque no hago escándalo, pero en realidad lo llevo a un cuarto interno donde lo desarmo solo. A la vez, cuando algo me importa de verdad, puedo actuar rápido y sin titubear. Soy lento para mostrarme, no siempre para decidir."
